category,is_known,true_label,prediction,max_softmax,entropy,energy,min_distance,odin,mahalanobis
Caprimulgus_jotaka,0,-1,9,0.084929995,-3.8042746,421.88016,-8.731745,0.013189697,0.0
Acrocephalus_orientalis,1,2,2,0.97533333,-0.19256118,417.52658,-6.321535,0.013279746,0.0
Merops_philippinus,0,-1,46,0.9704424,-0.22419219,418.0231,-6.234825,0.013273997,0.0
Egretta_garzetta,1,29,29,0.97281384,-0.20169644,418.42075,-5.4959846,0.013278839,0.0
Otus_lempiji,0,-1,31,0.22452019,-3.0386438,421.1574,-7.741963,0.013212526,0.0
Ficedula_zanthopygia,0,-1,49,0.11890032,-3.7156124,421.74548,-8.49683,0.013194645,0.0
Rhaphidura_leucopygialis,0,-1,4,0.16173877,-3.1913328,420.51343,-8.731226,0.013207939,0.0
Orthotomus_sutorius,1,52,52,0.9870952,-0.11418821,419.4552,-4.2811227,0.013280923,0.0
Strix_leptogrammica,0,-1,18,0.23040679,-3.3484952,421.70242,-7.538312,0.013207764,0.0
Chlidonias_hybrida,1,21,9,0.22200394,-2.9676309,422.47748,-6.3105936,0.013213897,0.0
Anthracoceros_malayanus,0,-1,65,0.12476407,-3.3208084,421.5211,-8.205713,0.013201868,0.0
Pitta_sordida,0,-1,75,0.38236904,-2.7491198,419.38275,-8.9936075,0.013219436,0.0
Otus_lempiji,0,-1,47,0.45126206,-2.2035527,419.67188,-7.963055,0.013229199,0.0
Columba_livia,1,23,23,0.6363675,-1.8959473,421.01645,-6.3957944,0.013232084,0.0
Calidris_alba,1,13,13,0.8226086,-0.797037,419.51575,-5.7554893,0.0132606765,0.0
Gelochelidon_nilotica,1,37,37,0.992774,-0.06612481,417.98383,-4.800825,0.013293852,0.0
Pitta_moluccensis,0,-1,27,0.13721725,-3.587266,421.31824,-8.586007,0.013199066,0.0
Orthotomus_sericeus,0,-1,63,0.078231655,-3.8265276,420.35727,-10.326574,0.01318884,0.0
Phylloscopus_coronatus,0,-1,55,0.2195784,-3.1270564,420.7022,-8.3521805,0.013210352,0.0
Himantopus_himantopus,1,39,39,0.95975775,-0.29199678,419.28336,-5.2528815,0.013270249,0.0
Lanius_cristatus,0,-1,68,0.08975813,-3.701829,421.65097,-8.823156,0.013191616,0.0
Ardea_alba,1,7,7,0.9938589,-0.058396377,418.9231,-3.8607829,0.013293776,0.0
Dicaeum_trigonostigma,0,-1,4,0.32746327,-2.6588259,418.88995,-9.231549,0.013222863,0.0
Strix_leptogrammica,0,-1,14,0.103805676,-3.5533795,422.7462,-7.4413548,0.013195322,0.0
Pelargopsis_capensis,1,55,55,0.9974496,-0.026434705,418.04642,-3.8992336,0.013304814,0.0
Caprimulgus_macrurus,1,16,16,0.9996984,-0.0039250404,417.8461,-2.5248678,0.013325662,0.0
Hirundo_rustica,1,40,40,0.9934058,-0.063307256,418.8707,-4.237413,0.013289419,0.0
Psittacula_alexandri,0,-1,0,0.3051762,-2.304645,419.35263,-8.375661,0.013228201,0.0
Acridotheres_tristis,1,0,0,0.3636415,-2.997437,422.2915,-6.4339976,0.013214687,0.0
Caprimulgus_jotaka,0,-1,9,0.23654336,-2.7847476,419.66843,-8.959608,0.013217154,0.0
Pycnonotus_jocosus,1,61,61,0.9831079,-0.1459664,417.90756,-6.0551147,0.013277987,0.0
Sterna_hirundo,1,66,67,0.5078972,-1.987241,419.32898,-7.836494,0.01323547,0.0
Egretta_garzetta,1,29,29,0.26429853,-3.050502,420.57697,-8.044041,0.013216282,0.0
Acridotheres_tristis,1,0,41,0.18925469,-3.277687,420.85962,-8.47613,0.01320669,0.0
Charadrius_mongolus,0,-1,39,0.21800342,-3.3024113,419.75055,-9.517321,0.013207514,0.0
Pycnonotus_jocosus,1,61,61,0.8678162,-0.88710684,420.265,-6.0472255,0.013246664,0.0
Pitta_sordida,0,-1,65,0.4098065,-2.2440395,420.43628,-7.135371,0.0132300835,0.0
Rallina_eurizonoides,0,-1,38,0.17359182,-2.8350363,420.81876,-8.047294,0.013212845,0.0
Anthreptes_malacensis,0,-1,4,0.56708515,-2.1190069,420.42023,-7.1308117,0.013230329,0.0
Corvus_splendens,1,25,25,0.9975848,-0.026181318,418.1539,-4.118309,0.013300532,0.0
Bubo_sumatranus,0,-1,18,0.24021532,-3.2523503,420.82544,-8.292294,0.013209377,0.0
Porphyrio_poliocephalus,0,-1,50,0.1734383,-3.2268271,423.1275,-6.2734375,0.013205677,0.0
Dicrurus_macrocercus,0,-1,27,0.85223615,-0.8489833,419.90094,-5.682727,0.013256524,0.0
Pluvialis_squatarola,1,57,57,0.9484122,-0.33418465,418.99414,-4.6798882,0.013282169,0.0
Anthus_rufulus,0,-1,0,0.21949673,-3.1939127,420.71875,-8.490454,0.013208445,0.0
Spilornis_cheela,1,65,65,0.99881124,-0.013440449,417.7095,-3.7089777,0.013312137,0.0
Tyto_alba,1,73,73,0.98143804,-0.15711015,420.3253,-3.7788458,0.013275889,0.0
Nycticorax_nycticorax,1,50,50,0.98436004,-0.13143657,420.0332,-3.607225,0.013282416,0.0
Acrocephalus_bistrigiceps,1,1,1,0.99550396,-0.038150676,415.8257,-5.772762,0.013309751,0.0
Collocalia_affinis,0,-1,44,0.2109333,-3.1161466,421.03677,-8.133128,0.0132087385,0.0
Dicrurus_macrocercus,0,-1,4,0.22363481,-3.0365882,420.2196,-8.614833,0.013213364,0.0
Tringa_ochropus,1,71,71,0.9948107,-0.050722867,418.08597,-4.7289114,0.0132932635,0.0
Ardea_alba,1,7,7,0.74004126,-1.5022576,420.35812,-6.526851,0.013239173,0.0
Pluvialis_fulva,0,-1,14,0.44350693,-2.0983634,420.19876,-7.245303,0.013231828,0.0
Pitta_moluccensis,0,-1,51,0.6936297,-1.4100248,417.3729,-8.684357,0.013250341,0.0
Cinnyris_jugularis,1,22,22,0.9961506,-0.037466638,417.73453,-4.4748826,0.013301584,0.0
Gelochelidon_nilotica,1,37,37,0.9997235,-0.0034777976,416.56985,-3.2875578,0.013333069,0.0
Zapornia_pusilla,1,75,75,0.9909889,-0.07545017,417.9346,-4.8918753,0.013293266,0.0
Leptocoma_brasiliana,0,-1,50,0.13174817,-3.5805545,422.9805,-7.0024652,0.0131979585,0.0
Calidris_ferruginea,1,15,15,0.981567,-0.15213218,418.55698,-5.2651606,0.013280048,0.0
Spilornis_cheela,1,65,65,0.88015485,-0.7763058,419.8111,-6.033465,0.013253071,0.0
Charadrius_dubius,1,20,20,0.9981357,-0.019730095,417.25507,-4.226307,0.013311015,0.0
Cacomantis_sepulcralis,0,-1,12,0.83271074,-0.93230116,417.57446,-8.027775,0.013256361,0.0
Psilopogon_haemacephalus,1,59,59,0.9983656,-0.01778571,418.3799,-3.279488,0.013308529,0.0
Pachycephala_cinerea,0,-1,0,0.07683319,-3.9459016,422.40176,-8.459656,0.013186375,0.0
Cacomantis_merulinus,1,12,12,0.9981871,-0.019239139,416.95447,-4.536401,0.01331117,0.0
Caprimulgus_jotaka,0,-1,29,0.14900708,-3.2721267,419.8683,-9.453931,0.013206965,0.0
Dicrurus_macrocercus,0,-1,27,0.6500111,-1.5618703,419.89984,-6.608922,0.013244241,0.0
Limosa_limosa,1,43,43,0.9381787,-0.34504154,416.65903,-6.7228966,0.01328597,0.0
Geopelia_striata,0,-1,12,0.23746021,-3.1841245,421.11307,-8.012384,0.013209313,0.0
Cyanoptila_cyanomelana,0,-1,50,0.19176161,-3.4622002,422.94446,-6.7464857,0.013201754,0.0
Acrocephalus_orientalis,1,2,2,0.99556535,-0.044121042,418.1868,-4.446805,0.013295803,0.0
Tringa_ochropus,1,71,71,0.9990797,-0.010810489,417.3255,-3.9539957,0.013313832,0.0
Ardea_purpurea,1,9,9,0.8223835,-0.5892509,419.72943,-4.6128373,0.013273196,0.0
Spilopelia_chinensis,1,64,64,0.9969031,-0.03135384,417.25732,-4.940282,0.013301596,0.0
Mulleripicus_pulverulentus,0,-1,4,0.59944814,-1.9503622,420.78308,-6.6887727,0.013231312,0.0
Tringa_ochropus,1,71,71,0.99589264,-0.042120486,418.9962,-3.842822,0.013292858,0.0
Cinnyris_jugularis,1,22,22,0.8677141,-0.837124,419.63202,-6.3489656,0.013251172,0.0
Nycticorax_nycticorax,1,50,50,0.97094965,-0.2286543,420.13916,-4.2223067,0.013272708,0.0
Halcyon_coromanda,0,-1,28,0.25481158,-2.8102975,420.12814,-8.397134,0.01321725,0.0
Tringa_stagnatilis,0,-1,42,0.14693698,-3.1442606,420.35623,-8.975195,0.013206763,0.0
Himantopus_himantopus,1,39,39,0.8818934,-0.5763102,418.25867,-6.2501135,0.01327067,0.0
Ducula_aenea,0,-1,11,0.2194995,-3.3572984,421.2913,-8.060823,0.013206443,0.0
Mixornis_gularis,1,44,44,0.99484926,-0.04979596,418.99213,-3.6596951,0.013295447,0.0
Charadrius_dubius,1,20,20,0.95090985,-0.34201962,418.79572,-5.697419,0.013270801,0.0
Hypothymis_azurea,1,41,41,0.999532,-0.0052131545,415.42114,-4.1812625,0.013336477,0.0
Dicrurus_macrocercus,0,-1,27,0.49886015,-2.4730673,420.93744,-7.0623865,0.013224334,0.0
Aplonis_panayensis,0,-1,58,0.12922062,-3.2847261,419.71802,-9.827219,0.013203905,0.0
Centropus_bengalensis,0,-1,18,0.57990277,-2.12241,420.13675,-7.4137144,0.013230276,0.0
Sternula_albifrons,1,67,67,0.7049914,-1.5590807,420.0037,-6.9253564,0.013238545,0.0
Ficedula_zanthopygia,0,-1,5,0.37868106,-2.7614763,420.38254,-7.990302,0.013219457,0.0
Mixornis_gularis,1,44,44,0.93383294,-0.4576588,419.8594,-5.0858912,0.013264877,0.0
Halcyon_smyrnensis,1,38,38,0.9946681,-0.052405614,418.21774,-4.589476,0.013293354,0.0
Anthus_rufulus,0,-1,11,0.11453408,-3.621561,420.71756,-9.418385,0.013196073,0.0
Zapornia_pusilla,1,75,75,0.9752892,-0.17811212,419.30658,-4.747341,0.013276814,0.0
Hypothymis_azurea,1,41,41,0.9937603,-0.05418538,416.52213,-5.623008,0.013302446,0.0
Tachybaptus_ruficollis,1,68,68,0.6757925,-1.6596271,418.81195,-7.932013,0.013241236,0.0
Cacomantis_sepulcralis,0,-1,12,0.9576629,-0.3305109,419.914,-5.179567,0.013262862,0.0
Psittacula_krameri,1,60,60,0.99418074,-0.055966806,418.942,-3.955772,0.013292275,0.0
Anthracoceros_albirostris,0,-1,36,0.2282204,-3.029799,421.58957,-7.4543886,0.013210472,0.0
Phylloscopus_borealis,1,56,56,0.9995041,-0.0060475636,417.36444,-3.2279058,0.013322941,0.0
Clanga_clanga,0,-1,53,0.38704765,-2.759441,419.90533,-8.358399,0.013221017,0.0
Lonchura_punctulata,0,-1,52,0.2264621,-3.2668939,419.76022,-9.380343,0.013209193,0.0
Pachycephala_cinerea,0,-1,4,0.7631675,-1.2655746,420.56705,-5.9458385,0.0132441055,0.0
Ardea_purpurea,1,9,1,0.5316993,-2.3033624,419.86472,-7.8459716,0.013228152,0.0
Mycteria_leucocephala,0,-1,9,0.15216681,-3.537432,422.41357,-7.4277315,0.0131999375,0.0
Gallinula_chloropus,1,35,35,0.51310146,-1.5031722,418.6315,-7.9431195,0.013243473,0.0
Ardea_cinerea,1,8,8,0.85116404,-0.8237777,419.039,-6.1994967,0.013261076,0.0
Accipiter_trivirgatus,0,-1,57,0.19647492,-3.1443913,421.2111,-7.959344,0.013208874,0.0
Larvivora_cyane,0,-1,50,0.10093734,-3.5974464,420.37457,-9.799293,0.013195626,0.0
Eurystomus_orientalis,0,-1,0,0.35997066,-2.6415842,420.0491,-7.874656,0.01322551,0.0
Hemiprocne_comata,0,-1,5,0.358749,-3.0441902,421.15082,-7.633644,0.013213963,0.0
Ardea_cinerea,1,8,8,0.971467,-0.19231123,419.79028,-3.9214065,0.013281321,0.0
Chalcophaps_indica,0,-1,18,0.7200794,-1.3520994,417.99368,-7.7428555,0.013254564,0.0
Pitta_moluccensis,0,-1,24,0.08310655,-3.5913024,421.29553,-9.051901,0.01319328,0.0
Pitta_megarhyncha,0,-1,65,0.16515177,-3.4365249,421.08344,-8.548292,0.013202677,0.0
Cuculus_micropterus,1,26,61,0.21084017,-3.1342082,420.9666,-8.204095,0.013208818,0.0
Numenius_phaeopus,1,49,49,0.99598336,-0.037063874,418.61963,-2.9918838,0.0133098075,0.0
Charadrius_leschenaultii,0,-1,15,0.3734727,-2.3737082,418.8542,-8.783861,0.01322942,0.0
Acrocephalus_bistrigiceps,1,1,1,0.5814241,-0.74985695,418.2363,-5.835035,0.01327667,0.0
Ninox_scutulata,1,47,47,0.99135476,-0.080963515,419.61102,-3.8865585,0.013284067,0.0
Dicrurus_leucophaeus,1,27,27,0.9996778,-0.0040551797,415.62854,-4.4900045,0.013329563,0.0
Mixornis_gularis,1,44,44,0.9994961,-0.0061356733,417.56973,-2.980132,0.013323594,0.0
Elanus_caeruleus,1,30,11,0.1407577,-3.2225113,420.3732,-9.064646,0.013205493,0.0
Chlidonias_leucopterus,0,-1,63,0.46430743,-2.0885246,419.6887,-8.024834,0.013228265,0.0
Motacilla_tschutschensis,1,46,46,0.99271,-0.06695414,416.7645,-6.222038,0.013290983,0.0
Phylloscopus_coronatus,0,-1,22,0.19397463,-3.3521948,421.633,-7.879317,0.013204226,0.0
Hemiprocne_comata,0,-1,65,0.23871928,-2.9334905,421.3079,-7.473832,0.013213945,0.0
Psittacula_krameri,1,60,60,0.99206007,-0.07582563,419.44495,-3.9622278,0.013285471,0.0
Pycnonotus_goiavier,0,-1,41,0.44689953,-2.2243629,419.64816,-7.7999134,0.013231809,0.0
Pelargopsis_capensis,1,55,55,0.99427843,-0.052477054,417.7423,-4.996025,0.013294304,0.0
Pitta_moluccensis,0,-1,11,0.18294336,-3.7263575,423.1357,-6.7914567,0.0131986765,0.0
Ficedula_mugimaki,0,-1,51,0.11323815,-3.346796,418.9371,-10.768865,0.013201828,0.0
Pycnonotus_aurigaster,0,-1,44,0.21185139,-2.958587,419.54642,-9.098323,0.0132158995,0.0
Arenaria_interpres,1,10,10,0.9692331,-0.21781932,419.551,-4.173605,0.013281213,0.0
Pericrocotus_speciosus,0,-1,28,0.77714854,-1.1476132,418.23572,-7.7132893,0.013251471,0.0
Merops_philippinus,0,-1,4,0.10628184,-3.5688548,420.32346,-9.815922,0.013196006,0.0
Larvivora_cyane,0,-1,5,0.13124758,-3.4747853,420.8069,-9.026638,0.013200075,0.0
Halcyon_pileata,0,-1,36,0.17257293,-3.1888847,420.33368,-8.825312,0.013209124,0.0
Pluvialis_fulva,0,-1,12,0.22726008,-3.4401512,420.62885,-8.796293,0.013205376,0.0
Chlidonias_leucopterus,0,-1,70,0.9785387,-0.1717102,420.11255,-4.0630975,0.013275155,0.0
Garrulax_leucolophus,0,-1,36,0.6877863,-1.7141005,419.77954,-7.33444,0.013236109,0.0
Prinia_flaviventris,1,58,61,0.31342435,-3.1253002,420.7579,-8.117331,0.013212665,0.0
Strix_seloputo,0,-1,31,0.22575982,-2.9758644,419.8874,-8.852543,0.013214765,0.0
Ardea_purpurea,1,9,9,0.09655238,-3.3461342,423.0746,-6.8573914,0.013199003,0.0
Dicrurus_macrocercus,0,-1,27,0.85058933,-0.682135,416.49188,-7.9155817,0.013272409,0.0
Falco_tinnunculus,1,33,33,0.31467023,-2.1865973,419.48337,-8.231001,0.013228435,0.0
Elanus_caeruleus,1,30,30,0.9984219,-0.016995855,416.02792,-5.310214,0.0133131845,0.0
Calidris_ferruginea,1,15,15,0.98982006,-0.07170647,417.3128,-4.5539923,0.01330634,0.0
Cinnyris_jugularis,1,22,22,0.72016734,-1.5556693,420.1572,-6.7831974,0.013238336,0.0
Ducula_aenea,0,-1,11,0.3338769,-3.1090045,420.48773,-8.338011,0.013213415,0.0
Cecropis_daurica,1,17,17,0.934535,-0.41799483,418.09558,-6.7806044,0.013265886,0.0
Gerygone_sulphurea,0,-1,2,0.17623995,-3.4063277,420.3497,-9.046093,0.0132058235,0.0
Calidris_alba,1,13,13,0.99782026,-0.022171352,417.69067,-3.6361518,0.013313389,0.0
Chrysococcyx_xanthorhynchus,0,-1,17,0.18516088,-3.382891,420.20602,-9.393641,0.013203203,0.0
Tachybaptus_ruficollis,1,68,68,0.9799849,-0.16451365,417.4936,-6.199332,0.013281923,0.0
Centropus_bengalensis,0,-1,18,0.56090605,-2.0673065,420.45847,-6.863937,0.013233316,0.0
Otus_sunia,0,-1,47,0.46881405,-2.5646052,421.31705,-6.8543825,0.013221937,0.0
Cyanoptila_cyanomelana,0,-1,42,0.10007128,-3.4775035,421.2985,-8.650673,0.013198504,0.0
Caprimulgus_macrurus,1,16,16,0.9992594,-0.008610971,418.57333,-2.495023,0.013316265,0.0
Larvivora_cyane,0,-1,45,0.14151385,-3.6199226,420.9022,-9.012935,0.013199013,0.0
Spatula_querquedula,1,63,63,0.99740857,-0.02558596,416.98813,-4.5316105,0.01331089,0.0
Pitta_moluccensis,0,-1,61,0.27001378,-2.923767,420.88147,-7.7730045,0.013215624,0.0
Apus_nipalensis,0,-1,40,0.114595704,-3.664114,421.6176,-8.615643,0.013194701,0.0
Calidris_falcinellus,0,-1,46,0.31770524,-2.8108668,420.5385,-7.7536435,0.013220334,0.0
Anthracoceros_malayanus,0,-1,36,0.114528276,-3.5992918,422.29343,-7.8384724,0.013196031,0.0
Spatula_clypeata,1,62,62,0.9996711,-0.004021615,416.42776,-3.3901377,0.013333588,0.0
Numenius_phaeopus,1,49,49,0.9843642,-0.12965122,419.76834,-3.7450018,0.01328408,0.0
Mycteria_leucocephala,0,-1,29,0.3201147,-3.1179678,421.96783,-6.878839,0.013213118,0.0
Calidris_pugnax,0,-1,43,0.8433163,-0.6737633,419.489,-5.4313307,0.013265245,0.0
Nisaetus_cirrhatus,0,-1,55,0.1920099,-2.7305589,419.84863,-8.654669,0.013217622,0.0
Aegithina_tiphia,1,4,4,0.9888709,-0.0948469,418.51007,-4.6607933,0.013288686,0.0
Acrocephalus_bistrigiceps,1,1,1,0.9994025,-0.006587363,416.06952,-4.0705543,0.013329236,0.0
Gallinago_gallinago,1,34,34,0.9993206,-0.0079725245,417.28687,-3.423398,0.013321462,0.0
Dicaeum_cruentatum,0,-1,15,0.6300705,-1.6713338,417.8573,-8.796121,0.013242576,0.0
Ficedula_zanthopygia,0,-1,1,0.21558985,-3.3031557,420.74222,-8.55142,0.013207214,0.0
Cecropis_daurica,1,17,17,0.969973,-0.22829525,419.13568,-5.2072043,0.013273046,0.0
Cinnyris_jugularis,1,22,22,0.9145318,-0.5657898,417.63092,-7.621272,0.01326099,0.0
Dicaeum_cruentatum,0,-1,0,0.40504152,-2.797068,420.33572,-7.982276,0.013220201,0.0
Hierococcyx_sparverioides,0,-1,47,0.22337689,-3.0743659,420.6967,-8.250764,0.013211785,0.0
Mixornis_gularis,1,44,44,0.12297848,-3.379912,420.8274,-8.849928,0.013202129,0.0
Haliaeetus_ichthyaetus,0,-1,51,0.73654497,-1.3617344,419.13766,-7.177331,0.013246653,0.0
Hemiprocne_comata,0,-1,75,0.1608633,-3.2743979,420.3466,-9.092279,0.01320578,0.0
Dicrurus_paradiseus,1,28,28,0.65380037,-1.1317651,418.5915,-7.4352703,0.013250424,0.0
Gelochelidon_nilotica,1,37,43,0.19993713,-2.8769817,419.70035,-8.901152,0.0132165495,0.0
Dicrurus_macrocercus,0,-1,21,0.2717944,-3.0775328,419.1258,-9.65064,0.013214022,0.0
Charadrius_mongolus,0,-1,15,0.97169614,-0.22431228,419.0838,-5.122322,0.013274996,0.0
Egretta_garzetta,1,29,29,0.9701245,-0.21644941,419.93555,-3.8724704,0.01328032,0.0
Corvus_macrorhynchos,1,24,24,0.98681563,-0.11787638,419.2163,-4.602516,0.013279864,0.0
Micropternus_brachyurus,0,-1,11,0.27770326,-2.9221606,420.58182,-7.9030037,0.013218063,0.0
Ficedula_mugimaki,0,-1,68,0.31454512,-2.797515,419.51242,-9.067342,0.013216831,0.0
Psilopogon_rafflesii,0,-1,18,0.57972693,-2.0562348,419.54608,-7.7208223,0.01323415,0.0
Calidris_alba,1,13,13,0.9676178,-0.24025711,419.3029,-4.524236,0.013279959,0.0
Phylloscopus_borealis,1,56,56,0.9998498,-0.0019079861,415.7101,-3.1549528,0.013346299,0.0
Malacocincla_abbotti,0,-1,22,0.9037778,-0.5549176,417.00677,-7.681514,0.013268562,0.0
Ixobrychus_sinensis,0,-1,2,0.71711963,-1.4977539,419.16138,-7.3715067,0.01324396,0.0
Calidris_alba,1,13,13,0.5733759,-1.7358687,420.559,-6.1722727,0.013241233,0.0
Xenus_cinereus,0,-1,72,0.7004021,-1.7163677,420.69177,-6.605049,0.0132335005,0.0
Passer_montanus,1,54,54,0.9869445,-0.116150126,418.80017,-5.0925674,0.01327883,0.0
Hieraaetus_pennatus,0,-1,50,0.08439632,-3.6709375,423.36636,-7.166443,0.0131912455,0.0
Cacomantis_sepulcralis,0,-1,26,0.10683618,-3.2918465,419.89816,-9.826856,0.013201455,0.0
Actitis_hypoleucos,1,3,3,0.99543,-0.043535743,417.1401,-5.068243,0.013301439,0.0
Hirundo_rustica,1,40,40,0.9944385,-0.053567264,418.61328,-4.293678,0.0132920975,0.0
Dicaeum_cruentatum,0,-1,12,0.18303153,-3.4498017,421.1994,-8.334291,0.01320391,0.0
Muscicapa_dauurica,0,-1,0,0.15134022,-3.532908,421.27075,-8.600353,0.01319952,0.0
Centropus_sinensis,1,18,18,0.98222786,-0.1369648,418.0274,-4.9628754,0.013291098,0.0
Strix_leptogrammica,0,-1,53,0.0872731,-3.7400713,420.91202,-9.58931,0.013191239,0.0
Falco_peregrinus,1,32,32,0.99461573,-0.048567303,418.95837,-3.4874573,0.013298345,0.0
Mixornis_gularis,1,44,44,0.9985677,-0.016021408,418.31088,-3.3336058,0.013308872,0.0
Collocalia_affinis,0,-1,43,0.17191799,-3.3565824,420.66135,-8.770107,0.013205366,0.0
Calidris_ferruginea,1,15,15,0.9851324,-0.12758933,419.82428,-3.7440648,0.013283507,0.0
Caprimulgus_affinis,0,-1,47,0.08808488,-3.7322555,421.61588,-8.877638,0.013191231,0.0
Ninox_scutulata,1,47,47,0.9981047,-0.018985143,417.1894,-4.026415,0.013314806,0.0
Cinnyris_jugularis,1,22,22,0.67042077,-1.8308156,420.33606,-7.019874,0.013232876,0.0
Acridotheres_tristis,1,0,0,0.9696311,-0.22697955,418.85928,-5.320079,0.013275271,0.0
Tringa_totanus,1,72,72,0.8983071,-0.6368085,420.30258,-5.169706,0.01325781,0.0
Motacilla_tschutschensis,1,46,46,0.9848364,-0.1337241,419.50812,-4.535186,0.013276783,0.0
Arenaria_interpres,1,10,10,0.8268143,-0.9689206,419.98416,-5.9791803,0.013251308,0.0
Ardea_cinerea,1,8,8,0.9599247,-0.26175797,419.50308,-4.266683,0.013280645,0.0
Chalcophaps_indica,0,-1,55,0.43094233,-2.487515,420.67813,-7.1762667,0.013226171,0.0
Gallinago_megala,0,-1,48,0.1664143,-3.462566,421.05032,-8.570104,0.013202891,0.0
Pitta_megarhyncha,0,-1,65,0.110101216,-3.6073828,421.2543,-8.905566,0.013195748,0.0
Eurystomus_orientalis,0,-1,9,0.80762666,-0.9972725,417.315,-8.46386,0.013254165,0.0
Falco_peregrinus,1,32,32,0.9740389,-0.21216473,419.50647,-4.887389,0.013272353,0.0
Pericrocotus_divaricatus,0,-1,41,0.17964153,-3.4983015,420.48645,-9.110433,0.013203131,0.0
Gelochelidon_nilotica,1,37,37,0.99926,-0.00878636,416.6887,-4.3277035,0.013317464,0.0
Pitta_moluccensis,0,-1,65,0.24195698,-3.0165825,420.18732,-8.645968,0.0132133085,0.0
Numenius_phaeopus,1,49,49,0.986948,-0.112331614,420.0151,-3.4613237,0.013284575,0.0
Ardea_cinerea,1,8,9,0.68030953,-0.92517984,419.6366,-5.4922395,0.013262744,0.0
Spatula_clypeata,1,62,34,0.61157775,-1.4527478,418.86035,-7.351795,0.013248128,0.0
Cacomantis_merulinus,1,12,12,0.9939195,-0.059547834,418.9247,-4.148055,0.013289869,0.0
Surniculus_lugubris,0,-1,51,0.8009841,-1.0533335,416.43246,-9.143191,0.013256715,0.0
Surniculus_lugubris,0,-1,65,0.3790351,-2.0004082,420.4667,-6.9638224,0.013231948,0.0
Muscicapa_dauurica,0,-1,1,0.7591771,-1.3419588,418.08328,-8.272255,0.013246239,0.0
Gerygone_sulphurea,0,-1,50,0.13174817,-3.5805545,422.9805,-7.0024652,0.0131979585,0.0
Arenaria_interpres,1,10,10,0.93663156,-0.4223937,420.45297,-4.3892984,0.01326611,0.0
Strix_leptogrammica,0,-1,50,0.08804677,-3.7979856,423.2841,-7.2660418,0.01319046,0.0
Pycnonotus_aurigaster,0,-1,27,0.1577111,-3.123896,419.90744,-9.422361,0.0132067725,0.0
Sterna_hirundo,1,66,66,0.9997489,-0.0032384745,416.69733,-3.194244,0.013332479,0.0
Ninox_scutulata,1,47,47,0.99760985,-0.025558252,418.00894,-4.156497,0.013301985,0.0
Cinnyris_jugularis,1,22,22,0.461526,-2.530905,421.0505,-6.885045,0.013225171,0.0
Nyctyornis_amictus,0,-1,18,0.080177516,-3.702114,421.8319,-8.761571,0.013190596,0.0
Acridotheres_tristis,1,0,0,0.9562311,-0.203547,416.15683,-6.1643043,0.013300184,0.0
Malacocincla_abbotti,0,-1,41,0.16059574,-3.266288,420.85794,-8.592707,0.013205134,0.0
